id 	longitude	 latitude	date	time 	SST
0201	109.495	18.2376	2017/6/9	11:00:08	31.4291
0201	109.4949	18.2377	2017/6/9	12:00:08	32.3802
0201	109.4948	18.2376	2017/6/9	13:00:05	32.4769
0201	109.4949	18.2376	2017/6/9	14:00:10	30.2451
0201	109.495	18.2376	2017/6/9	15:00:05	29.9498
0201	109.495	18.2376	2017/6/9	16:00:07	29.7485
0201	109.495	18.2376	2017/6/9	17:00:06	29.6512
0201	109.495	18.2376	2017/6/9	18:00:10	29.4924
0201	109.4949	18.2376	2017/6/9	19:00:05	29.1234
0201	109.495	18.2374	2017/6/9	20:00:05	28.7437
0201	109.4949	18.2375	2017/6/9	21:00:06	28.3553
0201	109.4949	18.2376	2017/6/9	22:00:06	28.0443
0201	109.4882	18.1731	2017/6/9	23:00:06	28.389
0201	109.6194	18.1289	2017/6/10	0:00:07	29.203
0201	109.7587	18.0919	2017/6/10	1:00:07	28.8838
0201	109.8966	18.0594	2017/6/10	2:00:07	28.8704
0201	110.0269	18.0298	2017/6/10	3:00:08	28.9147
0201	110.1527	18.0046	2017/6/10	4:00:08	28.8994
0201	110.2735	17.9859	2017/6/10	5:00:08	28.8549
0201	110.271	17.9855	2017/6/10	6:00:05	28.7939
0201	110.2679	17.9842	2017/6/10	7:00:05	29.8482
0201	110.2633	17.9813	2017/6/10	8:00:06	29.8751
0201	110.2569	17.9784	2017/6/10	9:00:06	29.9054
0201	110.2506	17.9756	2017/6/10	10:00:06	29.9534
0201	110.2428	17.9752	2017/6/10	11:00:08	30.0646
0201	110.2351	17.9778	2017/6/10	12:00:05	30.2205
0201	110.2304	17.9804	2017/6/10	13:00:05	30.4672
0201	110.2286	17.9818	2017/6/10	14:00:06	30.6972
0201	110.2256	17.9847	2017/6/10	15:00:06	30.7644
0201	110.2252	17.9887	2017/6/10	16:00:06	30.7515
0201	110.2268	17.9943	2017/6/10	17:00:07	30.9692
0201	110.2304	18	2017/6/10	18:00:07	30.9005
0201	110.2339	18.0066	2017/6/10	19:00:08	30.7753
0201	110.2374	18.0134	2017/6/10	20:00:08	30.6092
0201	110.2424	18.0198	2017/6/10	21:00:08	30.493
0201	110.2478	18.0255	2017/6/10	22:00:06	30.3935
0201	110.2528	18.0301	2017/6/10	23:00:05	30.285
0201	110.2567	18.0349	2017/6/11	0:00:10	30.2567
0201	110.2589	18.0417	2017/6/11	1:00:06	30.1991
0201	110.263	18.0482	2017/6/11	2:00:06	30.1501
0201	110.2679	18.0536	2017/6/11	3:00:05	30.1235
